Name,Email,Mobile
"
            Manovikas School For Inclusion            450151
",education@manovikas.co.in,9911107772
"
            Maharana Pratap Dr. Sushma Arya            340225
",,
"
            Mother India Inter College            210570
",,
"
            Govind Vidya Mandir Hr.sec. School            170240
",,992910190
"
            Maharana Govt. Hr. Sec. School            170241
",,
"
            Kunigal Valley International            080049
",kunigalvalleyschool@gmail.com,
"
            R.c.d. Public School            340222
",rcdps.subhash@yahoo.com,9412951213
"
            Ram Sakhi Girls Inter College            210567
",,
"
            Christian Model English Higher Secondary School            120058
",cmehssschool@gmail.com,"8413020230, 8413020230"
"
            Jeewan Public School            030390
",jeewan_institute@gmail.com,
"
            Saraswati Vidya Mandir Senior            050392
",svmbutana@gmail.com,"9254387077, 9812569372"
"
            Jai Convent Higher Secondary School            100241
",kulendraj96@gmail.com,7492221155
"
            Janta Adarsh Adiwashi Hr.sec.school            100240
",,9424349633
"
            Sh. Fateh Singh Sr.sec.school            050374
",shfatehsinghschool@gmail.com,
"
            Shree Swaminarayan Gurukul Vidyala.            040046
",,
"
            Shree Swaminarayan Gurukul Vidyala.            390079
",,
"
            Azaan International School            M47181
",,
"
            Azaan International School            M38284
",,
"
            G.d. Higher Secondary School            100234
",rshiyaram71@jiwan.com,7566530159
"
            Adarsh Bal Vikas Mandir High School            100242
",,9425133484
"
            Govt. Hr.sec. School            290114
",,9424280366
"
            Govt. Hr.sec. School            290115
",santoshg892@gmail.com,
"
            Govt. Boys Hr.sec. School            290116
",,
"
            Saraswat International Academy            040045
",saraswatvidhyalay@gmail.com,9925026819
"
            Saraswat International Academy            380281
",saraswatvidhyalay@gmail.com,
"
            Saraswat International Academy            390077
",saraswatvidhyalay@gmail.com,
"
            Sri Sri Ravishankar Vidya Mandir            080051
",,
"
            Kendriya Vidyalaya            080052
",kvkundremukha@gmail.com,
"
            Govt. Mahamaya Hr.sec. School            290103
",schoolmayamaya@gmail.com,9893770297
"
            Arundhati Devi Govt. Higher            290104
",principalarundhatidevi@gmail.com,
"
            Govt. Girls Hr.sec. School            290106
",,
"
            Govt. Boys Hr.sec. School            290108
",rohit0476@gmail.com,
"
            Govt. Hr. Sec. School            290109
",,9893810968
"
            Govt. Hr. Sec. School            290110
",,
"
            Govt. Hr.sec. School            290111
",,
"
            Saurabh English School            040047
",jusmina.pute171@yahoo.in,
"
            Saurabh English School            390080
",jusmina.pute171@yahoo.in,
"
            Jawahar Navodaya Vidyalaya            110120
",,
"
            Jawahar Navodaya Vidyalaya            110121
",,
"
            Kiran Bal Bharti Sr.sec. School            170237
",bbschool97@gmail.com,9509165471
"
            Govt. Sardar Hr. Secondary School            170243
",ovt.sardarschktp@gmail.com,
"
            Adarsh Kamini Shiksha Niketan Girls            210573
",dilipl.cilipsharma.shaarma@gmail.com,9639421749
"
            Govt. Higher Secondary School            290121
",,
"
            Govt. Higher Secondary School            290122
",,
"
            Govt. Higher Secondary School            290126
",,
"
            Govt. Inter College            340226
",,
"
            Govt. Inter College            340227
",abasbisht@gmail.com,
"
            St. Joseph's Convent School            M21578
",,
"
            Al Irshad Sr.sec. English School            M09084
",,
"
            Al Irshad Sr.sec. English School            M38287
",,
"
            Madarsa Ajmeri Anarullah Habib            M21577
",,955996553
"
            Madarsa Ajmeri Anarullah Habib            M38286
",,955996553
"
            Madarsa Qasimul Uloom            M21579
",,9335169686
"
            Madarsa Qasimul Uloom            M38288
",,9335169686
"
            Ishlahul Muslimin School            M29129
",mha_educationsocity@yahoo.in,
"
            Ishlahul Muslimin School            M38285
",mha_educationsocity@yahoo.in,
"
            Barasija Fulur Anchal Vidyalaya            460502
",barasijahighschool@gmail.com,7872660835
"
            Fulbari High School            460505
",,
"
            Jagadishpur High School            460507
",jagadishpurhighschool@gmail.com,9830341446
"
            Dariapur Imampur Barambol High Sch            460510
",dibhsschool@gmail.com,8001129097
"
            Lakhuria High School            460514
",lakhuriahighschool@gmail.com,9800847571
"
            Hat Chapra Kind Edward High School            460515
",,
"
            Rajasthan Vidyapith            460518
",niosrvp460518@gmail.com,7001007277
"
            Khanyadihi High School            460520
",kpkhsschool@gmail.com,9932339996
"
            Baidyapara High School            460523
",abasu.2011@rediffmail.com,"9804727134, 9831312381"
"
            Herobhanga Vidyasagar            460524
",sanjoymondal0106@gmail.com,9733999100
"
            Sri Pragathi Junior College            010182
",modernsripragathi@gmail.com,
"
            Nava Chaitanya Junior College            010183
",arunkumarj8@gmail.com,
"
            District Jail            J05004
",,
"
            Bright Mission Sr.sec. School            050396
",,"9354903189, 9466428794"
"
            Dayanand Public School            060082
",shrisaisnr@gmail.com,
"
            Daffodils Public School            210574
",daffodilsmzp@sify.com,
"
            Green Field Academy Sr.sec. School            210576
",gfa_lmp@rediffmail.com,9935958341
"
            Tulasipur High School            150180
",,
"
            Birsa Munda Vidyapitha            150185
",,
"
            Govt. Boys Hr.sec. School            290130
",,9752305841
"
            Govt. Hr. Secondary School            290133
",,942557453
"
            Govt. Hr. Secondary School            290134
",,786428450
"
            Govt. Hr. Secondary School            290138
",,9755882856
"
            Govt. Boys Higher Secondary School            290140
",,9977313126
"
            Govt. Higher Secondary School            290141
",,
"
            Govt. Hr. Secondary School            290143
",,
"
            Govt. Higher Secondary School            290146
",rajeshchandanio8@gmail.com,
"
            Govt. Girls Hr.secondary School            290147
",,
"
            Greenway Public School            M07048
",,"7006810385, 0941903596"
"
            Greenway Public School            M38290
",,941903596
"
            Modella Caretaker Centre & School            220097
",secretary.mccs@gmail.com,
"
            Govt. Hr. Sec. School            170254
",,
"
            Govt. Sr.sec. School            170257
",,
"
            Eminent Public High School            100243
",lokeminent@gmail.com,942513774
"
            Doon Valley Cambridge School            160092
",,
"
            Sidana International School            160093
",jindanaint@gmail.com,
"
            Jalandhar Public School            160094
",jalandharpublicschool@yahoo.com,
"
            Sidhu Memorial Public School            160095
",,
"
            Bharti Vidhya Niketan Sr.sec.school            170244
",bharateepachar@gmail.com,9828383731
"
            Modern Public Sec. School            170245
",modernage@yahoo.com,
"
            Subhash Convent School            170246
",,
"
            Bps Convent School            170247
",bpsconvent@gmail.com,
"
            Gyan Jyoti Sr.sec. School            170248
",,
"
            Adarsh Ucch Madhyamik Bal Vidyalaya            170249
",pawan2900@gmail.com,9660060065
"
            Swami Vivekanand Sr.sec. School            170250
",,9462514100
"
            National Shikshan Sansthan            170251
",mujib.chhapri@gmail.com,9784733533
"
            Jawahar Navodaya Vidyalaya            170252
",jnvjaisalmer@yahoo.co.in,
"
            Kendriya  Vidyalaya No.3,            170253
",kvjr@rediffmail.com,
"
            Braham Rishi Krishan Dutt Inter            210575
",lalitbkd.789@gmail.com,925921688
"
            N.M. Public School            210581
",nmps_grnoida@rediffmail.com,"9312887978, 9312887978"
"
            Raj Devi Ram Karan Public School            210582
",,
"
            St. Francis Of Assisi High School            300020
",,
"
            Mont Fort Children's Academy            340229
",jasveer.mca@gmail.com,
"
            Brahmanand Public School            050398
",rahmanand_nissing@yahoo.com.in,9813230645
"
            R.k. Hindu Sr.sec. School            050399
",rk.hinduschool@gmail.com,
"
            Golden Public School            050401
",,
"
            New Pragati Senior Secondary School            050402
",,"9813978505, 9813978505"
"
            Mrcr Public School            050403
",,
"
            A. Xavier's International School            050407
",,
"
            Silver Oak Public School            210580
",,
"
            S.d.m. High School            050408
",,9991851869
"
            Shri Ram Charit Manas Sr.sec.school            050371
",ramchritmanas@yahoo.com,
"
            St. Paul Convent Hr. Sec. School            100245
",,9993068425
"
            Pandit Nehru Higher Sec. School            100246
",,
"
            Aman Public High School            100247
",dd1248@gmail.com,968554195
"
            St. Marks Higher Secondary School            100248
",,
"
            Neha Convent Higher Sec. School            100249
",,982626282
"
            Shriyut Higher Secondary School            100250
",compcellshriyut@gmail.com,
"
            Rani Public School            270457
",ranipublicschool1@gmail.com,9711177731
"
            Anil Kumar Dav Public School            050410
",akdav.publicschool@yahoo.com,
"
            Saint Fateh Singh Convent School            160096
",sgcmaur@gmail.com,
"
            Kendriya Vidyalaya            470184
",principalkv_ntpcrdm@yahoo.com,
"
            Kendriya Vidyalaya            010185
",kvkurnool2003@yahoomail.com,
"
            Kendriya Vidyalaya            470186
",principalkvt@gmail.com,
"
            Kendriya Vidyalaya            470187
",principalkvsvpnpa@rediffmail.com,903052811
"
            J.B.M. Public School            270459
",jbmpschool@gmail.com,9868631661
"
            St. Xavier's High School            220098
",sbankura@gmail.com,
"
            Keshar Education Academy            100255
",,9826228919
"
            Nobel Heart Public Higher Secondary            100254
",,
"
            Vaishnavi Public Hr.sec. School            100253
",,
"
            Durga Higher Secondary School            100252
",,989394458
"
            Makrand Higher Secondary School            100251
",ajayb580@gmail.com,
"
            Heera Lal Public School            270458
",hlps03@yahoo.com,9654963695
"
            Sir Chottu Ram Sr.sec. School            050412
",scrpublicschool@gmail.com,
"
            The Aryan Senior Secondary School            050413
",thearyansbanwasa11@yahoo.com,
"
            Karan Public School            210585
",karan.publicschool@yahoo.com,
"
            Universal Senior Secondary School            050411
",universalgoria@gmail.com,
"
            Holy Mary's School            M16097
",,
"
            Darul Uloom Wahidia            M26186
",rustamhaque@gmail.com,9934358440
"
            Darul Uloom Wahidia            M38294
",rustamhaque@gmail.com,9934358440
"
            Mao Higher Secondary School Elayur            M09085
",,
"
            Madarsa Habibia Lilbanaat            M21587
",,
"
            Madarsa Habibia Lilbanaat            M38295
",,
"
            Madarsa Usmania Islamic School            M21588
",,
"
            Madarsa Usmania Islamic School            M38296
",,
"
            Madarsa Sirazul Islam            M21589
",,9721382649
"
            Madarsa Sirazul Islam            M38297
",,9721382649
"
            Zahirul Uloom Nishwan Girls Madarsa            M21590
",,
"
            Zahirul Uloom Nishwan Girls Madarsa            M38298
",,
"
            Aes Public School            M09086
",aespublicschool@gmail.com,984678633
"
            Aes Public School            M38299
",aespublicschool@gmail.com,984678633
"
            St. Xavier's High School            M01194
",,
"
            St. Xavier's High School            M37099
",,
"
            Makhdoom Baksh Jamia Islamia            M34233
",,9639378749
"
            Makhdoom Baksh Jamia Islamia            M38300
",gulzarkhadim1982@gmail.com,"9639378749, 0963937874"
"
            Madarsa Islamia Maktab            M21591
",,9838648942
"
            Madarsa Islamia Maktab            M38301
",,9838648942
"
            Sujatha Junior College            010191
",college@gmail.com,
"
            Macca High School            M01188
",mnmreddy0405@gmail.com,944024550
"
            Macca High School            M37096
",mnmreddy0405@gmail.com,944024550
"
            Sri Swami Vivekananda Vidyalayam(tm            370098
",,
"
            Saraswati High School            050416
",,
"
            Shanti Vidya Niketan High School            100259
",preetiguptakareli@gmail.com,9826896263
"
            Shri Krishna Higher Sec. School            100262
",srikrishnaschoolmungaoli@gmail.com,
"
            Maa Saraswati High School            100256
",,
"
            Late M.L. Chaurasiya Public School            100257
",,
"
            Eklavya Awasiya High School            100258
",,
"
            Bharti Vidhya Niketan Hr.sec.school            290149
",hartischoolrahod@gmail.com,7818298405
"
            Govt. Intermediate College            340231
",,
"
            Unique International Public School            210595
",uips.muradnagar@gmail.com,
"
            B.r. Khokhar Memorial Sr.sec.school            170218
",sunilb917@gmail.com,9928362678
"
            M.N.B. Modern Secondary School            270461
",mnbmordernschool@gmail.com,
"
            New Sandhya Public School            270460
",nspss1996@gmail.com,
"
            Central Prison            J08001
",prisonbly@gmail.com,
"
            Maa Tripur Sundari Public School            210594
",mts.ho.mzp@gmail.com,
"
            Higher Secondary School            M21592
",,8953862627
"
            Higher Secondary School            M38302
",,8953862627
"
            Kendriya Vidyalaya            010195
",,8985524480
"
            Kendriya Vidyalaya            470196
",,
"
            Kendriya Vidyalaya            020057
",,
"
            Jawahar Navodaya Vidyalaya            140027
",jnvkiphire@gmail.com,961295539
"
            Lakshya Public School            210586
",lps_bagpat@rediffmail.com,
"
            Kendriya Vidyalaya            210597
",kvgtcvaranasi@gmail.com,
"
            Govt. Inter College            340234
",gicgarurabanj@rediffmail.com,
"
            Adarsh Lakhpat Model Sec. School            270462
",almss2114@gmail.com,"9212278461, 1122963999"
"
            Jawahar Navodaya Vidyalaya            220099
",jnvhooghly2011@gmail.com,
"
            Guru Teg Bahadur Public School            160098
",gtbschool794@gmail.com,9855430984
"
            Suddananda Vidyalaya            190097
",sruthandi@gmail.com,
"
            Adarsh Vidhyalay            040048
",lkc1961@gmail.com,
"
            Jawahar Navodaya Vidyalaya            130023
",jnveastgarohills@yahoo.co.in,
"
            J.p.s. Global Academy            210599
",nitinjps@gmail.com,9368508824
"
            Kankinara Himayatul Ghurba            220100
",shamimplank1986@gmail.com,
"
            Kankinara Himayatul Ghurba            380303
",shamimplank1986@gmail.com,
"
            Holy Field Model Sr.sec. School            050405
",,
"
            Mata Kasturi Devi Sr.sec.school            270463
",mkdpschool@yahoo.co.in,
"
            M.d. Memorial Sec. Public School            270464
",yadavved14@gmail.com,
"
            T.c. Chandra Inter College            210598
",,
"
            Deshmesh Public School            160099
",deshmeshpublicschoolo@rediffmail.com,
"
            Pratham Education Foundation            453901
",milan.bhatt@pratham.org,9327442110
"
            Pratham Education Foundation            453902
",renu.seth@pratham.org,
"
            Pratham Education Foundation            453903
",renu.seth@pratham.org,
"
            Pratham Education Foundation            453904
",milan.bhatt22@gmail.com,8460490909
"
            Pratham Education Foundation            450152
",suraj.kumar@pratham.org,
"
            Pratham Education Foundation            450153
",suraj.kumar@pratham.org,
"
            Pratham Eduation Foundation            450154
",uraj.kumar@pratham.org,
"
            Pratham Rajasthan            450155
",suraj.kumar@pratham.org,
"
            Pratham Rajasthan            450156
",suraj.kumar@pratham.org,
"
            Pratham Education Foundation            450157
",uraj.kumar@pratham.org,
"
            C.r.b.v.m.senior Secondary School            050424
",crbvm2000@gmail.com,9991702875
"
            Sri Seshaas Public School            190098
",seshaasschool@gmail.com,
"
            Araria Public School            030391
",aps_principal@yahoo.com,
"
            Araria Public School            380304
",aps_principal@yahoo.com,
"
            Shivaniaa Public School            050422
",principalspsu98@gmail.com,
"
            Global Public School            050430
",gps.gohana@gmail.com,"9034878721, 9812017672"
"
            Sarvodaya Senior Secondary School            050428
",sarvodayasch@gmail.com,
"
            Vivekanand Senior Secondary School            050431
",vivekanandbawwa@gmail.com,1259272177
"
            Prabhat Tara Children Eng.academy            020058
",prabhataratsk@gmail.com,
"
            Sh. Amarnath Gupta Vishnukumar            210603
",,
"
            Sri Ji Inter College            210602
",,9917320946
"
            Tagore Global International School            170261
",tgischala@india.com,9829427178
"
            Ram Sewak Shiksha Prasar Samiti            100263
",sonu_ed79@yahoo.in,
"
            Raja Rajeswari Senior Sec.school            090087
",knniswanathan@msn.com,
"
            Raja Rajeswari Senior Sec.school            400064
",knniswanathan@msn.com,
"
            Saheed Bhagat Singh Sr.sec. School            050437
",sahisingh401@gmail.com,
"
            B.k.m. High School            050436
",bkmsssck@gmail.com,9728086700
"
            Kumari M.r. Gardi Vidyalaya            390081
",acharya.anindra@gmail.com,
"
            Orang Higher Secondary School            020059
",,
"
            Akalavya Inter College            210600
",,
"
            K.n.senior Secondary School            050440
",nil.sheoran44@gmail.com,9255665544
"
            M.G. Convent School            210596
",mgconventschool@gmail.com,
"
            S.d. Senior Secondary School            050438
",,981212070
"
            M.p. Hindu Inter College            340236
",,
"
            Deshbandhu Inter College            340235
",deshbandhuic@gmail.com,"9837551669, 9837151076"
"
            Adarsh Gyandeep Inter College            210604
",a.gyandeep886@gmail.com,
"
            Golden Crescent Public School            050442
",sheoran.p@gmail.com,"9812404694, 9812404694"
"
            Sri Vardhaman Inter College            M21606
",,
"
            Darul Uloom Gulshane Fatima            M21607
",,9837740586
"
            Darul Uloom Gulshane Fatima            M38307
",,9837740586
"
            Sun Rise Public School            M05439
",khan.sunrise225@gmail.com,9416001786
"
            Sun Rise Public School            M38309
",,
"
            Mohd. Johar Ali Girls School            M21609
",,9794189351
"
            Mohd. Johar Ali Girls School            M38310
",,9794189351
"
            Madarsa Garib Nawaz            M34237
",nizamakthar_2009@gmail.com,895806388
"
            Madarsa Garib Nawaz            M38311
",nizamakthar_2009@gmail.com,895806388
"
            Rehmania Inter College            M34239
",rehmaniaintercollege@gmail.com,941292866
"
            Rehmania Inter College            M38312
",rehmaniaintercollege@gmail.com,941292866
"
            Iqra Islamic Women's College            M09088
",iqra19@gmail.com,944723960
"
            Iqra Islamic Women's College            M40065
",iqra19@gmail.com,
"
            Shafi Memorial Niswa School            M21610
",lifelinegkp@yahoo.com,
"
            Shafi Memorial Niswa School            M38313
",lifelinegkp@yahoo.com,
"
            St. Francis Sr.Sec. School            M17260
",,
"
            Shri Guru Nanak Academy            M34238
",ai340238@gmail.com,9927772224
"
            Amreen Higher Secondary School            M10264
",,930017772
"
            Amreen Higher Secondary School            M38314
",,930017772
"
            Khawaja Model School            M17262
",nazim_dargah@hotmail.com,
"
            Khawaja Model School            M38315
",nazim_dargah@hotmail.com,145243380
"
            C.r. Senior Secondary School            050443
",,
"
            Global Institute Of Management Sci            940001
",info@globalbahrain.com,97317740
"
            Sky Hawk International School            270468
",skyhawkinternationalschool@gmail.com,"9911608989, 9711433026"
"
            Nav Durga Adarsh Vidyalaya            270466
",ndavrana@gmail.com,
"
            Tibetan Homes School            340240
",tibetanhomeschool@gmail.com,9411548524
"
            Maharishi Dayanand Public School            170264
",mdpsjaipur1@gmail.com,
"
            R.p. Memorial Public Sr.sec.school            270465
",rpmbackhand@gmail.com,9354979679
"
            Central Jail            J16001
",gurdaspurcjail@yahoo.com,
"
            Arunodaya Higher Secondary School            290150
",arunodayahsschool@gmail.com,9981212220
"
            Kendriya Vidyalaya            240024
",kvroing1920@gmail.com,
"
            M.d.bhati Saraswati Niketan            170265
",mdb.principaloo@gmail.com,
"
            SIDHHARTHA PUBLIC SCHOOL            270467
",sidhharthapublicschool1@gmail.com,"9210592596, 9210592596"
"
            Disha Delphi Public School            170267
",contact@ddps.ac.in,
"
            Rawat Public School            170263
",narendra702@gmail.com,
"
            Madarsa Qadariya Faiz E Sikandriya            M17268
",,
"
            Madarsa Qadariya Faiz E Sikandriya            M38293
",,
"
            Mata Gujri Public School            M05444
",mgpskangthali@yahoo.com,
"
            M. S. Senior Secondary School            050445
",msschooljhansa@gmail.com,9467055640
"
            Model Public School            090089
",mpskattanam@gmail.com,
"
            Sri Vivekanand Matric Hr.sec.school            190099
",vivekananda1980@yahoo.com,
"
            Bal Jyoti Public School            210612
",baljyotipublicschool@yahoo.in,9910363101
"
            Green Valley Sr. Sec. School            050446
",amitnehra60@gmail.com,9812094222
"
            Shri Mahaveer International School            170270
",shrimahaveer2006@gmail.com,
"
            Marigold Public School            270469
",,
"
            Akal Sahai  Academy            160100
",akalsahaiacademy@gmail.com,
"
            Kasturba Balika Vidyalaya            270472
",kasturba1925196@gmail.com,9899455720
"
            S.d.s.senior Secondary School            050449
",sdschool10farrukhnagar@gmail.com,
"
            Arya Senior Secondary School            050450
",aryafarmana.20210@gmail.com,
"
            Kendriya Vidyalaya            040050
",kurly_gim@yahoo.co.in,
"
            Gangadhara High School            040052
",info@gskm.org,
"
            Madarsa Fatimatul Uloom College            M21583
",,989753119
"
            Madarsa Fatimatul Uloom College            M38291
",,989753119
"
            Madarsa Fahad Islamia Academy            M21584
",syedrajidali786@gmail.com,989745327
"
            Madarsa Fahad Islamia Academy            M38292
",syedrajidali786@gmail.com,989745327
"
            Modern Madarsa Al Irfan            M21613
",fakparvaazilfs@gmail.com,9412523047
"
            Modern Madarsa Al Irfan            M38316
",fakparvaazilfs@gmail.com,9412523047
"
            Kendriya Vidyalaya            220102
",,
"
            Kendriya Vidyalaya            220101
",kvkhaprail@yahoo.co.in,
"
            S.b.j. High School            050452
",s.b.j.pahripur@gmail.com,9991845441
"
            Sarvodaya Sr.sec. School            050453
",sarvodyahisar@gmail.com,9466205222
"
            Vishav Bharti Vidya Vihar Senior            050454
",,9466052770
"
            Gyan Jyoti High School            050455
",,
"
            Babu Ram J.s. Inter College            210615
",,9758002867
"
            Gurukul Academy Hr.sec. School            100265
",,
"
            Baba Ram Piyare Memorial Higher            100266
",,9200706345
"
            Crescent Public School            100267
",principalcrescent@gmail.com,7290291800
"
            Crescent Public School            380317
",principalcrescent@gmail.com,7290291800
"
            St. Paul Higher Secondary School            100268
",st.paul542077@gmail.com,
"
            Gyandeep Vidhya Mandir Higher            290154
",lalji9sahu95@gmail.com,
"
            Ghanshyam Mehta Inter College            260187
",gmmter2007@gmail.com,
"
            Choudhary Educational Institute            170269
",sherktp@gmail.com,
"
            Shiv Saraswati Sr.sec.vidya Mandir            170271
",,9424368305
"
            Maruti High School            040054
",maruti.highschool@gmail.com,9825187005
"
            Ranuj High School            040053
",ranujhighschool@gmail.com,
"
            Smt. Narbada Devi J. Agarwal            190100
",sndjavv@gmail.com,9884055876
"
            Chhotu Ram Public School            270471
",crpsdelhi@yahoo.com,
"
            Vikas Public School            170272
",spshekhawat@ymail.com,9413990585
"
            Centurion Public School            150188
",cps@cretm.com,
"
            Centurion Public School            370095
",cps@cretm.com,
"
            Centurion Public School            410115
",cps@cretm.com,
"
            Joginder High School            050425
",tejpalsaini01@gmail.com,9813170484
"
            Joginder High School            380305
",tejpalsaini01@gmail.com,9813170484
"
            R.s.m. High School            050426
",,
"
            Central Jail            J10001
",suprintdendent@yahoo.in,
"
            Naincy Convent Sr.sec. School            340241
",naincyconvent@gmail.com,
"
            Govt. Inter College            340242
",,
"
            C.m.d. Inter College            340244
",,9937896715
"
            National Kanya Inter College            340245
",,
"
            Sri Sai Baba Junior College            010175
",srittccollege@gmail.com,"9701263319, 9701263319"
"
            Shaheed Bhagat Singh Public School            050457
",sbs.publicschool@yahoo.com,
"
            Asha High School            050458
",ashasaini111@gmail.com,
"
            Ablaze Senior Secondary School            050460
",ablaze.school@gmail.com,8059940171
"
            Happy Senior Secondary School            050461
",silanahappysss@gmail.com,"8607444716, 8607444716"
"
            Gian Jyoti Senior Secondary School            050462
",subashchander848@gmail.com,"9416657510, 9991050988"
"
            Chandanvan Public School            210616
",cpsmathura@gmail.com,
"
            Doon Hills Academy            210617
",dhadeoband@gmail.com,
"
            B.s.m. School            210618
",,9897599111
"
            Swami Vivekanand High School            100269
",jeetahod@gmail.com,8462006386
"
            Adani Dav Public School            040049
",adanischool@gmail.com,
"
            District Jail            J05008
",supdtjagadhari.jail@hry.nic.in,
"
            Bajrang Sr. Secondary School            170273
",,9887723652
"
            Saraswati Sr. Sec. School            050465
",,"9671569220, 9466676642"
"
            Muslim Institute Of Education            M07049
",akhter_hussain_2006@yahoo.co.in,"0196226400, 0959643184"
"
            Muslim Institute Of Education            M38320
",akhter_hussain_2006@yahoo.co.in,"0196226400, 0959643184"
"
            Blooming Child Sr.sec. School            050466
",satpal125@gmail.com,9416800222
"
            Supreme Bal Bharti Sr.sec.school            170275
",jaimaasupreme@gmail.com,
"
            Shri Bhagwati Vaidya Mandir            170276
",bhainsawbhaskar.85@gmail.com,"9887849174, 0988784917"
"
            Alpine Valley Boarding School            050469
",ijkalia14@gmail.com,
"
            Darbar Public Secondary School            170277
",,
"
            Doon Global School            340248
",ankitagarwaldgs@gmail.com,
"
            M.s. Memorial Public School            030392
",msmpsmotihari@gmail.com,"0993904710, 0943120367"
"
            Jasidih Public School            260188
",mail@gasidihpublicsschool.com,9934578553
"
            Govt. Hr.sec.school            090090
",ghsschathamattm@gmai.com,4852568406
"
            Govt. Hr.sec. School            400066
",ghsschathamattm@gmail.com,
"
            Budge Budge St. Pauls Day School            220103
",kazi-raju786@yahoo.com,332480276
"
            Montfort Integrated Educational            450158
",miecnagpur@gmail.com,"9579849299, 9579849299"
"
            S.d.senior Secondary School            050471
",sdsssisharwal@gmail.com,9813707585
"
            New Naveen Model Hr.sec. School            070050
",krwdr.2012@gmail.com,9419641201
"
            R.n. Malviya Inter College            210621
",rnmalviyaicakm@gmail.com,9956803357
"
            Premchandra Shivdhara Inter College            210620
",pcsdinterc@gmail.com,9897062708
"
            Jagriti Senior Secondary School            170278
",vijaysainjagriti@gmail.com,
"
            Konark Vidyapeeth            210622
",31377@gmail.com,
"
            Mother India Public School            160101
",mipspatran@yahoo.com,
"
            Indian Convent School            270474
",indianconvent24@gmail.com,8377015653
"
            Gyan Jyoti Public School            270475
",gaur.puneet@yahoo.com,
"
            Madrasa Zia Ul Uloom Shikshan            M21623
",,"0800449679, 8726098569"
"
            Madrasa Zia Ul Uloom Shikshan            M38321
",,"8004496795, 8726098569"
"
            Sant Baba Attar Singh Public School            M16102
",sbaspsh007@gmail.com,9779001295
"
            Crescent Matric Hr.sec. School            M19101
",,
"
            Crescent Matric Hr.sec. School            M38322
",,
"
            Pratap Singh Memorial Sr.sec.school            050468
",,9896692760
"
            Maximum Security Jail            J16020
",nabhajail@mail.com,
"
            Distt. Jail            J16025
",supdt.distt.jail.roopnagar@gmail.com,9872134845
"
            Vels Vidyashram            190102
",velsvidyashram@yahoo.com,9884075573
"
            Smt. Ramkuwar Devi Fomra            190103
",srdfvvidyalaya@gmail.com,
"
            Lalaji Memorial Omega International            190104
",info@omegaschools.org,
"
            S.d. Senior Secondary School            050473
",sdschhapar@gmail.com,"8396072164, 1251272147"
"
            St. Mary's Convent Inter College            M21625
",smccj@rediffmail.com,
"
            Darul Uloom Habibia Rizvia            M21624
",,
"
            Darul Uloom Habibia Rizvia            M38323
",,
"
            Aliya Senior Secondary School            M09091
",drjaleelmarthya@gmail.com,"9495727307, 4994236539"
"
            Ranikhet (mission) Inter  College            M34251
",,
"
            Bhagirathi Vidyalaya            340250
",bhagirathividyalaya@smgi.edu.in,
"
            Janki Children Academy            340249
",ai340249@gmail.com,9997246513
"
            D.p.s. Senior Secondary School            050482
",dpsschool2003@gmail.com,
"
            Jr Public School            270478
",,1128526090
"
            St.vincent's Convent School            410116
",nos-stvcs@rediffmail.com,
"
            Jawahar Navodaya Vidyalaya            410117
",jnvn_96@yahoo.com,
"
            Children Centre Of Integral Edu.            410118
",tirupanda@yahoo.com,
"
            The Assembly Of God School            410119
",aogshrsecschl@yahoo.in,9937117360
"
            Vesaj Rambhabati College            410120
",ritesh.ptl2008@rediffmail.com,
"
            Kendriya Vidyalaya            410121
",principal_kvrkl@yahoo.co.in,
"
            Oriental Public School            410122
",oriental_pbsbgr@rediffmail.com,
"
            Jawahar Navodaya Vidyalaya            410123
",jnvsng@redifmail.com,6622211756
"
            Jawahar Navodaya Vidyalaya            410124
",jnvangul@yahoo.co.in,
"
            Jawahar Navodaya Vidyalaya            410126
",jnvdhenkanal@rediffmail.com,6760241485
"
            Centurion University Of Technology            410127
",dhrubasahoo@gramtarang.org.in,9338198340
"
            Tulasipur High School            410133
",,
"
            Jamia-tus-salehat            M21629
",info@jamea-tus-salehat.com,
"
            Jamia-tus-salehat            M38324
",info@jamea-tus-salehat.com,
"
            Burdwan Model School            220104
",bmsoo1.principal@rediffmail.com,
"
            Vinayaka High School            010199
",munnisamykrishna@yahoo.com,
"
            Vinayaka High School            370102
",munnisamykrishna@yahoo.com,
"
            Jangir Brahmin High School            050474
",jbhighschool1974@gmail.com,
"
            Holy High School            050475
",shyamholyschool@gmail.com,981251066
"
            Baba Mungipa Sr.sec. School            050476
",,981218837
"
            Saraswati High School            050480
",mkypath@gmail.com,
"
            Baba Jai Ram Dass High School            050481
",rajpalbjrd@gmail.com,946667939
"
            Stanford Global Academy            170279
",stanford.jaipur@gmail.com,
"
            Lovely Diamond Senior Sec.school            170280
",shyamholyschool@gmail.com,
"
            Bharti Bal Niketan Sr.sec. School            170281
",,
"
            Adinath Senior Sec. Public School            170282
",aadinath_123@rediffmail.com,
"
            Bhartiya Shikshan Sansthan Senior            170283
",bsspalsana@gmail.com,9887450051
"
            Mother Land Shikshan Sansthan            170284
",rajendrachoudhary433@gmail.com,
"
            Newai Vidyapeeth Sr.sec. School            170285
",newaividhyapeeth@gmail.com,"9252770454, 9252770454"
